Transaction ID,Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Risk_Classification
TX0000009974,UK,3247483.38,Cash Withdrawal,2014-02-20 13:00,Person_5018,Finance,Switzerland,FALSE,Illegal,2,5,Bank_267,0
TX0000006768,Switzerland,3847871.758,Cryptocurrency,2013-10-09 23:00,Person_1556,Finance,South Africa,TRUE,Legal,6,4,Bank_438,1
TX0000005401,India,2898490.033,Cryptocurrency,2013-08-14 0:00,Person_5393,Casinos,Singapore,FALSE,Illegal,5,6,Bank_452,1
TX0000001145,UK,4886661.376,Stocks Transfer,2013-02-17 16:00,Person_5720,Finance,UAE,FALSE,Legal,1,3,Bank_266,0
TX0000009583,South Africa,1337886.735,Cash Withdrawal,2014-02-04 6:00,Person_2379,Finance,UK,FALSE,Illegal,3,2,Bank_137,0
TX0000001359,Singapore,218164.6321,Property Purchase,2013-02-26 14:00,Person_2615,Arms Trade,South Africa,FALSE,Illegal,7,8,Bank_351,1
TX0000001836,Brazil,4421368.966,Offshore Transfer,2013-03-18 11:00,Person_2399,Real Estate,UAE,FALSE,Illegal,7,6,Bank_63,1
TX0000000162,Russia,246106.2521,Cash Withdrawal,2013-01-07 17:00,Person_2686,Real Estate,South Africa,FALSE,Illegal,5,3,Bank_323,1
TX0000009525,Brazil,214627.6645,Property Purchase,2014-02-01 20:00,Person_6185,Real Estate,China,FALSE,Illegal,7,1,Bank_1,1
TX0000007206,USA,3524054.004,Cryptocurrency,2013-10-28 5:00,Person_4082,Casinos,UK,FALSE,Illegal,6,4,Bank_113,1
TX0000003382,UAE,2326972.058,Offshore Transfer,2013-05-21 21:00,Person_7605,Arms Trade,UAE,FALSE,Illegal,6,7,Bank_144,1
TX0000007484,Switzerland,4425260.575,Property Purchase,2013-11-08 19:00,Person_4929,Finance,China,FALSE,Legal,4,7,Bank_236,0
TX0000003447,UAE,1528147.857,Property Purchase,2013-05-24 14:00,Person_2156,Luxury Goods,Switzerland,FALSE,Illegal,6,6,Bank_479,1
TX0000000168,Switzerland,2946942.875,Cryptocurrency,2013-01-07 23:00,Person_7565,Arms Trade,South Africa,FALSE,Legal,6,6,Bank_67,1
TX0000003113,South Africa,4987243.048,Cryptocurrency,2013-05-10 16:00,Person_7456,Construction,Switzerland,FALSE,Illegal,6,8,Bank_262,1
TX0000000895,China,513761.8015,Stocks Transfer,2013-02-07 6:00,Person_1645,Construction,Russia,TRUE,Legal,6,4,Bank_394,1
TX0000004518,Russia,2200631.979,Stocks Transfer,2013-07-08 5:00,Person_2876,Casinos,UAE,FALSE,Legal,3,4,Bank_359,0
TX0000006595,India,3651796.293,Offshore Transfer,2013-10-02 18:00,Person_5276,Arms Trade,India,FALSE,Illegal,5,5,Bank_465,1
TX0000001167,South Africa,1198744.884,Property Purchase,2013-02-18 14:00,Person_9182,Construction,Russia,FALSE,Legal,6,9,Bank_219,1
TX0000000959,Switzerland,1980587.165,Offshore Transfer,2013-02-09 22:00,Person_9529,Arms Trade,China,TRUE,Illegal,7,7,Bank_110,1
TX0000002589,Singapore,4325661.363,Property Purchase,2013-04-18 20:00,Person_3531,Arms Trade,UK,TRUE,Legal,9,3,Bank_174,1
TX0000005639,UK,3372385.828,Cash Withdrawal,2013-08-23 22:00,Person_1012,Finance,South Africa,FALSE,Illegal,2,3,Bank_229,0
TX0000000327,Brazil,4700775.887,Property Purchase,2013-01-14 14:00,Person_2609,Finance,Russia,FALSE,Legal,6,5,Bank_299,1
TX0000004012,UK,2160300.194,Stocks Transfer,2013-06-17 3:00,Person_5197,Construction,UAE,FALSE,Illegal,2,9,Bank_376,0
TX0000004818,Brazil,1541599.796,Cash Withdrawal,2013-07-20 17:00,Person_4827,Oil & Gas,Brazil,FALSE,Illegal,3,3,Bank_66,0
TX0000008346,Brazil,2505937.468,Cash Withdrawal,2013-12-14 17:00,Person_8999,Real Estate,UAE,FALSE,Illegal,5,8,Bank_171,1
TX0000007049,China,4360057.607,Cryptocurrency,2013-10-21 16:00,Person_2086,Real Estate,Singapore,FALSE,Illegal,7,4,Bank_283,1
TX0000006968,USA,4162265.834,Cash Withdrawal,2013-10-18 7:00,Person_9352,Finance,China,TRUE,Legal,2,7,Bank_100,0
TX0000009337,USA,163601.1846,Stocks Transfer,2014-01-25 0:00,Person_7368,Real Estate,China,FALSE,Illegal,3,9,Bank_33,0
TX0000007716,Russia,3590193.345,Cryptocurrency,2013-11-18 11:00,Person_8557,Real Estate,UK,FALSE,Illegal,6,1,Bank_68,1
TX0000005978,UAE,3662985.587,Stocks Transfer,2013-09-07 1:00,Person_2966,Casinos,India,FALSE,Illegal,3,4,Bank_230,0
TX0000005716,Russia,4422906.736,Property Purchase,2013-08-27 3:00,Person_8706,Casinos,UAE,FALSE,Legal,6,9,Bank_312,1
TX0000008863,Switzerland,3404260.319,Property Purchase,2014-01-05 6:00,Person_5054,Construction,South Africa,FALSE,Illegal,5,9,Bank_403,1
TX0000005494,South Africa,3554075.04,Stocks Transfer,2013-08-17 21:00,Person_3740,Finance,South Africa,FALSE,Illegal,2,1,Bank_499,0
TX0000007367,Russia,3497689.909,Stocks Transfer,2013-11-03 22:00,Person_4268,Arms Trade,USA,FALSE,Legal,3,7,Bank_146,0
